"International Visitors--
   1) Country of Residence
   2) 1+ nights in the USA
   3)  Among qualified visa types";"World 
Region";;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Nigeria;Africa;; - - -;37,9 %;7,3 %;17,0 %;-2,8 %;3,9 %;-5,1 %;17,8 %;37,1 %;-5,7 %;15,9 %;7,3 %;21,1 %;42,4 %;20,2 %;10,3 %;-1,9 %;3,1 %;-5,0 %;-19,8 %;-83,6 %;60,9 %;82,0 %;58,6 %;2,4 %
Niue;Oceania;; - - -;80,0 %;-38,9 %;-45,5 %;-50,0 %;266,7 %;-36,4 %;14,3 %;25,0 %;-30,0 %;-14,3 %;183,3 %;-58,8 %;71,4 %;58,3 %;-26,3 %;-7,1 %;92,3 %;36,0 %;-32,4 %;-78,3 %;-40,0 %;433,3 %;62,5 %;134,6 %
North Korea;Asia;; - - -;-42,9 %;81,3 %;0,0 %;-79,3 %;150,0 %;140,0 %;-36,1 %;-26,1 %;58,8 %;370,4 %;3,9 %;23,5 %;58,3 %;15,9 %;32,1 %;12,7 %;-49,4 %;133,3 %;14,3 %;-71,2 %;0,6 %;254,0 %;101,1 %;-22,6 %
Norway;Western Europe;; - - -;-16,5 %;-8,7 %;0,6 %;15,2 %;6,6 %;4,5 %;18,9 %;23,8 %;-9,7 %;14,4 %;14,4 %;5,2 %;11,6 %;7,4 %;1,7 %;-14,3 %;3,4 %;-2,4 %;-4,5 %;-84,2 %;-48,8 %;562,9 %;19,5 %;1,4 %
Oman;Middle East;; - - -;-6,4 %;-31,3 %;-16,1 %;10,6 %;7,0 %;-0,7 %;22,0 %;14,3 %;-0,9 %;1,8 %;18,6 %;29,8 %;23,7 %;19,1 %;9,4 %;-3,9 %;-6,3 %;9,3 %;-1,6 %;-66,6 %;25,4 %;45,6 %;2,1 %;-2,9 %
Pakistan;Asia;; - - -;11,1 %;-31,7 %;-20,8 %;9,6 %;-2,9 %;-3,8 %;6,5 %;4,9 %;1,9 %;6,9 %;1,8 %;12,8 %;26,2 %;23,7 %;24,5 %;15,9 %;-9,7 %;4,9 %;1,2 %;-73,0 %;71,5 %;81,6 %;35,1 %;30,7 %
Palau;Oceania;; - - -;;;;;;;;;;;;-2,7 %;-8,0 %;-44,5 %;-86,9 %;-10,8 %;9,1 %;-5,0 %;-17,5 %;-78,7 %;83,3 %;245,5 %;-1,1 %;66,0 %
Palestine;Middle East;; - - -;;;;;;;;;;;;;;1023,6 %;6,3 %;32,0 %;-12,3 %;-6,9 %;-3,6 %;-79,2 %;91,3 %;89,9 %;66,3 %;36,4 %
Panama;Central America;; - - -;-18,3 %;-13,9 %;-4,1 %;5,0 %;3,7 %;3,2 %;7,3 %;17,8 %;6,9 %;8,2 %;1,1 %;10,0 %;14,5 %;3,7 %;13,2 %;-3,7 %;-8,2 %;11,1 %;12,5 %;-71,8 %;130,5 %;13,6 %;10,3 %;3,0 %
Papua New Guinea;Oceania;; - - -;-30,1 %;-28,5 %;-12,3 %;-8,4 %;9,5 %;-6,6 %;-11,3 %;31,0 %;21,9 %;-16,6 %;-2,5 %;4,6 %;49,2 %;-1,2 %;68,3 %;-37,1 %;-25,3 %;7,0 %;38,0 %;-85,6 %;-32,9 %;419,1 %;48,9 %;26,2 %
Paraguay;South America;; - - -;-12,3 %;-26,4 %;-19,2 %;-0,4 %;6,3 %;-10,7 %;19,0 %;9,9 %;4,2 %;16,7 %;15,1 %;14,9 %;36,0 %;9,3 %;7,7 %;3,4 %;-4,3 %;16,1 %;-3,8 %;-76,2 %;367,6 %;-38,3 %;12,4 %;4,8 %
Peru;South America;; - - -;-3,2 %;-11,6 %;-6,2 %;-1,9 %;0,3 %;-12,1 %;11,7 %;9,3 %;-1,5 %;8,0 %;0,5 %;7,9 %;23,0 %;9,3 %;13,9 %;3,2 %;-3,1 %;5,7 %;9,2 %;-72,3 %;340,5 %;-23,9 %;10,1 %;7,3 %
Philippines;Asia;; - - -;7,4 %;-4,1 %;-22,4 %;7,2 %;6,8 %;0,0 %;11,7 %;4,7 %;-4,5 %;3,4 %;-2,9 %;4,3 %;20,6 %;4,4 %;8,0 %;17,8 %;7,5 %;0,2 %;7,1 %;-86,2 %;33,2 %;213,3 %;52,0 %;25,3 %
Pitcairn Islands;Oceania;; - - -;-100,0 %;;-100,0 %;;25,0 %;-100,0 %;;750,0 %;-97,1 %;100,0 %;150,0 %;120,0 %;418,2 %;12,3 %;-56,3 %;50,0 %;-28,6 %;133,3 %;24,3 %;-82,8 %;-33,3 %;360,0 %;65,2 %;30,3 %
Poland;Eastern Europe;; - - -;-6,9 %;0,4 %;-0,7 %;14,0 %;9,3 %;2,3 %;0,7 %;6,0 %;-21,5 %;-0,5 %;-0,8 %;-3,2 %;25,0 %;18,3 %;5,7 %;5,1 %;10,3 %;5,8 %;8,2 %;-78,7 %;-25,9 %;528,0 %;34,8 %;19,7 %
Portugal;Western Europe;; - - -;-22,1 %;-16,7 %;-2,6 %;11,7 %;11,8 %;4,8 %;12,9 %;10,6 %;-16,5 %;25,7 %;7,8 %;-5,3 %;7,4 %;7,3 %;5,6 %;10,5 %;7,6 %;6,4 %;5,6 %;-84,2 %;3,2 %;399,6 %;23,7 %;15,1 %
Qatar;Middle East;; - - -;-2,2 %;-50,4 %;-5,1 %;18,7 %;32,7 %;32,9 %;38,9 %;37,1 %;7,1 %;29,6 %;29,5 %;23,7 %;13,2 %;11,7 %;12,9 %;-0,5 %;-18,5 %;15,9 %;3,3 %;-81,9 %;222,4 %;32,5 %;30,1 %;-13,9 %
Reunion;Africa;; - - -;-39,0 %;-59,9 %;114,8 %;-27,0 %;80,3 %;-43,2 %;91,5 %;75,5 %;17,4 %;3,9 %;9,4 %;26,9 %;-5,7 %;27,4 %;62,3 %;104,4 %;-62,9 %;38,0 %;32,9 %;-87,3 %;-42,1 %;782,3 %;20,9 %;23,9 %
Romania;Eastern Europe;; - - -;3,1 %;-6,4 %;-5,2 %;20,8 %;24,3 %;5,7 %;11,8 %;12,4 %;-17,1 %;9,7 %;3,6 %;2,0 %;16,7 %;6,9 %;5,1 %;9,8 %;9,6 %;6,6 %;9,6 %;-80,0 %;24,8 %;149,1 %;50,5 %;11,9 %
Russia;Eastern Europe;; - - -;-8,3 %;-8,7 %;-3,0 %;16,2 %;17,1 %;11,7 %;21,3 %;24,5 %;-0,2 %;22,3 %;30,0 %;13,9 %;35,5 %;0,7 %;-23,5 %;1,5 %;9,9 %;-11,6 %;-3,4 %;-76,3 %;34,5 %;-39,3 %;25,3 %;41,0 %
Rwanda;Africa;; - - -;-12,1 %;-3,7 %;2,6 %;40,2 %;19,8 %;7,6 %;22,3 %;17,6 %;-5,9 %;11,6 %;23,3 %;25,6 %;2,3 %;19,7 %;4,7 %;27,4 %;-5,4 %;25,9 %;11,8 %;-75,7 %;66,8 %;66,9 %;23,0 %;26,5 %
Saint Barthelemy;Caribbean;; - - -;;;;;;;;;;;;;;2166,7 %;-4,4 %;-47,7 %;44,1 %;12,2 %;1,8 %;-75,0 %;257,1 %;100,0 %;146,0 %;43,1 %
Saint Maarten;Caribbean;; - - -;;;;;;;;;;;;;;1225,8 %;2,9 %;-4,2 %;26,6 %;53,4 %;;;;;;
Saint Martin;Caribbean;; - - -;;;;;;;;;;;;;;1160,0 %;84,1 %;-16,4 %;-2,1 %;160,0 %;-11,3 %;573,1 %;175,5 %;35,7 %;4,6 %;-1,1 %
San Marino;Western Europe;; - - -;-36,6 %;-44,1 %;1,1 %;27,5 %;18,5 %;19,8 %;1,9 %;33,6 %;-0,9 %;-2,9 %;14,2 %;-21,0 %;-1,8 %;12,1 %;10,3 %;-12,7 %;-4,0 %;15,2 %;-6,0 %;-82,1 %;-50,8 %;344,1 %;108,8 %;32,4 %
Sao Tome And Principe;Africa;; - - -;-14,0 %;-32,7 %;0,0 %;-15,2 %;7,1 %;13,3 %;32,4 %;-46,7 %;-16,7 %;700,0 %;12,5 %;-41,7 %;-52,4 %;24,0 %;14,5 %;-14,1 %;-6,6 %;-8,8 %;-42,3 %;-70,0 %;-33,3 %;433,3 %;15,6 %;32,4 %
Saudi Arabia;Middle East;; - - -;-7,4 %;-63,3 %;-26,8 %;-0,8 %;35,2 %;25,4 %;23,6 %;24,8 %;27,7 %;44,1 %;63,5 %;36,1 %;16,8 %;21,7 %;3,0 %;-13,8 %;-28,5 %;-1,9 %;-9,4 %;-81,3 %;62,5 %;63,1 %;23,3 %;3,8 %
Senegal;Africa;; - - -;-7,1 %;-25,3 %;-12,0 %;-16,7 %;-15,6 %;-7,5 %;17,3 %;27,1 %;-1,3 %;9,8 %;2,4 %;-3,5 %;12,6 %;0,4 %;-2,4 %;8,8 %;-4,1 %;-0,6 %;9,4 %;-71,1 %;83,8 %;62,7 %;31,3 %;1,7 %
Serbia;Western Europe;; - - -;;;;;;;;;;;;;;70,2 %;335,3 %;-12,8 %;-19,1 %;-67,4 %;447,3 %;-70,5 %;37,1 %;68,5 %;49,1 %;14,3 %
Seychelles;Africa;; - - -;0,2 %;-36,7 %;-7,5 %;-33,3 %;15,2 %;-11,6 %;19,2 %;7,0 %;-12,7 %;16,7 %;-8,8 %;-2,0 %;38,7 %;18,6 %;11,0 %;7,9 %;-24,1 %;35,9 %;0,0 %;-79,7 %;88,8 %;122,5 %;21,1 %;12,3 %
Sierra Leone;Africa;; - - -;-1,3 %;9,8 %;15,3 %;4,2 %;-6,6 %;7,8 %;47,8 %;11,0 %;-2,8 %;17,6 %;18,1 %;-2,0 %;22,0 %;9,5 %;-14,2 %;12,0 %;16,1 %;-17,1 %;10,8 %;-82,6 %;159,3 %;134,5 %;64,0 %;0,2 %
Singapore;Asia;; - - -;-27,4 %;-1,8 %;-10,0 %;21,7 %;8,8 %;6,1 %;9,9 %;4,6 %;-24,1 %;29,7 %;17,0 %;0,7 %;-3,0 %;-3,9 %;4,8 %;-6,1 %;-1,7 %;12,3 %;11,8 %;-86,2 %;-13,6 %;449,7 %;25,7 %;4,6 %
Slovakia;Eastern Europe;; - - -;-5,6 %;-2,1 %;-12,7 %;9,0 %;18,5 %;8,4 %;10,0 %;17,2 %;43,6 %;11,5 %;11,6 %;-0,5 %;7,3 %;8,0 %;13,7 %;1,1 %;3,1 %;5,7 %;7,3 %;-84,4 %;-24,1 %;441,0 %;25,6 %;14,7 %
Slovenia;Western Europe;; - - -;-26,2 %;-33,5 %;29,0 %;17,3 %;13,8 %;1,6 %;26,4 %;28,0 %;-6,9 %;-1,9 %;4,8 %;-3,7 %;-1,4 %;9,8 %;18,0 %;-15,0 %;13,8 %;7,9 %;10,9 %;-77,4 %;-44,9 %;363,1 %;38,2 %;28,7 %
Solomon Islands;Oceania;; - - -;15,6 %;7,4 %;-37,7 %;-6,1 %;-20,4 %;9,5 %;43,2 %;13,8 %;4,5 %;-36,2 %;23,9 %;12,8 %;143,9 %;-14,7 %;2,7 %;41,8 %;-53,1 %;12,0 %;4,1 %;-85,3 %;-50,0 %;1226,7 %;-27,6 %;54,9 %
Somalia;Africa;; - - -;-25,7 %;-70,5 %;-4,3 %;59,1 %;57,1 %;-45,5 %;63,3 %;12,2 %;30,9 %;36,1 %;19,4 %;-52,1 %;146,4 %;62,3 %;8,9 %;17,6 %;-48,8 %;-3,4 %;21,1 %;-61,0 %;117,9 %;35,6 %;87,4 %;-6,7 %
South Africa;Africa;; - - -;-18,3 %;-22,1 %;-2,5 %;8,9 %;13,6 %;-0,1 %;5,3 %;-0,0 %;-15,8 %;1,6 %;16,3 %;8,4 %;10,9 %;3,3 %;8,4 %;-8,2 %;8,0 %;7,7 %;-2,8 %;-80,6 %;-30,6 %;359,7 %;34,8 %;10,4 %
South Korea;Asia;; - - -;-6,6 %;3,4 %;-3,3 %;1,5 %;12,5 %;7,5 %;6,4 %;-5,8 %;-2,0 %;48,9 %;9,4 %;6,9 %;11,0 %;2,5 %;20,5 %;11,7 %;17,8 %;-5,3 %;4,0 %;-80,9 %;-53,9 %;353,7 %;74,0 %;6,2 %
South Sudan, Republic of;Africa;; - - -;;;;;;;;;;;;;;2355,6 %;62,0 %;-33,8 %;18,1 %;46,8 %;;;;;;
Spain;Western Europe;; - - -;-19,4 %;-7,4 %;5,4 %;17,4 %;15,7 %;10,0 %;21,7 %;27,5 %;-9,4 %;7,2 %;11,3 %;-12,8 %;5,9 %;8,8 %;6,3 %;6,2 %;2,4 %;6,0 %;7,6 %;-83,9 %;20,4 %;323,9 %;6,8 %;8,7 %
Sri Lanka;Asia;; - - -;-11,8 %;-24,2 %;15,3 %;-1,4 %;20,1 %;15,6 %;15,5 %;-4,1 %;-15,4 %;11,0 %;16,9 %;2,8 %;20,0 %;10,8 %;12,7 %;9,7 %;6,2 %;-8,2 %;-3,3 %;-83,6 %;28,2 %;221,3 %;40,5 %;12,5 %
St. Helena;Africa;; - - -;;;;;;;;;;;;-37,1 %;95,5 %;-7,0 %;2,5 %;9,8 %;-6,7 %;45,2 %;-21,3 %;-70,8 %;50,0 %;66,7 %;45,7 %;-23,5 %
St. Kitts and Nevis;Caribbean;; - - -;-15,7 %;-22,3 %;-0,3 %;24,9 %;15,6 %;-2,6 %;-0,2 %;-0,4 %;-7,5 %;1,0 %;-6,0 %;-11,0 %;19,5 %;3,0 %;3,4 %;0,1 %;-5,7 %;8,8 %;15,4 %;-85,0 %;71,6 %;144,7 %;47,9 %;22,4 %
St. Lucia;Caribbean;; - - -;-17,5 %;-16,1 %;-4,2 %;15,3 %;0,2 %;8,2 %;3,3 %;-11,0 %;-3,0 %;12,5 %;-11,5 %;-12,3 %;12,0 %;1,7 %;8,3 %;5,9 %;-3,2 %;3,5 %;10,7 %;-82,8 %;121,4 %;84,9 %;33,7 %;22,5 %
St. Pierre And Miquelon;Western Europe;; - - -;;;;;;;;;;;;13,2 %;20,9 %;-2,9 %;31,7 %;-7,5 %;-19,5 %;41,4 %;0,7 %;-87,9 %;-17,6 %;542,9 %;77,8 %;-25,0 %
St. Vincent and the Grenadines;Caribbean;; - - -;-18,7 %;-15,8 %;-1,3 %;16,2 %;3,8 %;10,2 %;-5,9 %;-1,8 %;-0,7 %;3,6 %;1,1 %;-10,5 %;35,2 %;5,4 %;3,0 %;1,1 %;-3,9 %;3,2 %;13,6 %;-81,3 %;82,9 %;91,1 %;58,7 %;12,5 %
Sudan;Africa;; - - -;12,2 %;-48,6 %;-21,4 %;-6,3 %;6,5 %;59,3 %;23,0 %;6,4 %;10,9 %;29,7 %;32,1 %;-23,3 %;4,1 %;44,6 %;7,7 %;36,7 %;-40,6 %;18,3 %;-16,2 %;-74,7 %;0,7 %;207,0 %;33,5 %;-4,0 %
Suriname;South America;; - - -;-17,1 %;-10,2 %;2,1 %;8,7 %;-2,5 %;-7,0 %;14,1 %;16,9 %;22,9 %;3,6 %;2,2 %;17,5 %;15,3 %;6,8 %;12,0 %;-15,7 %;-3,3 %;6,6 %;11,4 %;-87,1 %;222,3 %;139,1 %;-2,5 %;13,9 %
Swaziland;Africa;; - - -;-13,4 %;-35,5 %;-4,5 %;12,6 %;85,6 %;-10,5 %;-11,5 %;82,0 %;-13,2 %;67,9 %;43,4 %;16,0 %;18,6 %;5,6 %;6,1 %;-18,6 %;-25,0 %;44,0 %;-1,1 %;-82,4 %;12,0 %;355,0 %;19,2 %;0,6 %
Sweden;Western Europe;; - - -;-28,4 %;-11,4 %;3,5 %;20,3 %;14,3 %;-1,6 %;18,0 %;17,6 %;-18,3 %;14,6 %;19,2 %;0,6 %;10,7 %;12,3 %;6,2 %;-4,7 %;-6,8 %;-3,0 %;-10,8 %;-83,6 %;-36,6 %;428,2 %;16,2 %;5,9 %
Switzerland;Western Europe;; - - -;-21,3 %;-18,3 %;-9,4 %;5,7 %;5,6 %;5,4 %;9,5 %;15,4 %;4,0 %;9,8 %;23,7 %;-0,4 %;3,1 %;1,3 %;7,2 %;-12,5 %;-6,3 %;5,0 %;2,5 %;-86,7 %;-11,4 %;460,2 %;26,1 %;2,1 %
Syria;Middle East;; - - -;-2,8 %;-36,9 %;-26,0 %;1,5 %;2,9 %;0,4 %;14,4 %;0,7 %;10,0 %;10,2 %;10,0 %;8,2 %;49,5 %;-6,2 %;-16,9 %;-9,7 %;-34,6 %;-42,6 %;-15,1 %;-78,8 %;44,6 %;339,7 %;61,1 %;7,2 %
Taiwan;Asia;; - - -;-21,9 %;-19,3 %;-17,0 %;24,6 %;7,1 %;-5,8 %;3,5 %;-5,2 %;-18,8 %;21,5 %;3,0 %;-2,2 %;39,1 %;3,0 %;5,8 %;5,0 %;1,8 %;0,7 %;4,5 %;-81,8 %;-44,5 %;171,6 %;149,2 %;16,7 %
Tajikistan;Asia;; - - -;39,9 %;-1,0 %;-15,3 %;-7,6 %;47,6 %;39,9 %;144,4 %;23,5 %;-29,9 %;3,7 %;25,1 %;0,6 %;-16,3 %;0,2 %;38,1 %;4,5 %;0,8 %;-5,5 %;1,0 %;-79,5 %;72,9 %;165,0 %;35,0 %;17,4 %
Tanzania;Africa;; - - -;16,0 %;-29,0 %;-0,7 %;-4,2 %;7,9 %;10,9 %;14,9 %;3,3 %;4,9 %;-0,3 %;16,5 %;8,0 %;-8,2 %;13,6 %;20,5 %;-23,2 %;7,3 %;5,3 %;0,1 %;-83,2 %;39,0 %;263,1 %;25,2 %;15,9 %
Thailand;Asia;; - - -;-15,2 %;-9,4 %;-16,4 %;18,6 %;0,8 %;3,6 %;11,2 %;-0,2 %;-9,9 %;7,4 %;2,2 %;10,1 %;9,6 %;6,6 %;1,4 %;4,2 %;-0,7 %;4,3 %;3,9 %;-87,5 %;71,7 %;160,3 %;26,7 %;5,3 %
Togo;Africa;; - - -;41,5 %;-20,0 %;-5,9 %;-8,6 %;-29,1 %;-14,2 %;20,5 %;4,0 %;-12,0 %;9,9 %;19,4 %;-4,6 %;22,2 %;13,7 %;20,2 %;5,1 %;0,5 %;0,2 %;10,3 %;-78,5 %;27,9 %;114,9 %;76,0 %;27,9 %
Tonga;Oceania;; - - -;1,0 %;-23,1 %;-18,9 %;11,8 %;19,5 %;-7,0 %;9,2 %;-37,2 %;-7,3 %;-2,7 %;-7,3 %;-6,4 %;27,1 %;20,9 %;73,6 %;25,7 %;-14,2 %;-18,1 %;2,7 %;-84,7 %;-77,8 %;1187,2 %;78,0 %;8,4 %
Trinidad and Tobago;Caribbean;; - - -;-7,7 %;-6,9 %;-5,5 %;8,4 %;6,0 %;4,3 %;6,8 %;3,2 %;-4,2 %;-3,4 %;-1,7 %;4,8 %;2,0 %;6,4 %;10,7 %;-1,3 %;-2,0 %;2,9 %;11,8 %;-87,5 %;45,1 %;255,0 %;32,5 %;25,3 %
Tunisia;Africa;; - - -;-44,6 %;-62,2 %;1,6 %;44,6 %;22,1 %;-2,4 %;15,2 %;10,9 %;5,9 %;19,3 %;6,2 %;18,0 %;25,1 %;7,1 %;-0,1 %;13,6 %;-6,8 %;0,7 %;4,6 %;-79,5 %;83,6 %;124,5 %;20,4 %;9,8 %
Turkey;Middle East;; - - -;-22,7 %;-4,3 %;-4,4 %;1,6 %;10,5 %;6,7 %;6,0 %;12,6 %;-12,3 %;22,2 %;14,5 %;10,1 %;15,8 %;4,5 %;9,8 %;5,2 %;-9,1 %;-10,2 %;3,1 %;-72,6 %;51,9 %;70,0 %;38,8 %;15,9 %
Turkmenistan;Asia;; - - -;76,3 %;-45,9 %;-4,9 %;89,8 %;8,7 %;4,1 %;-5,3 %;-16,2 %;68,0 %;18,3 %;0,7 %;17,3 %;48,3 %;19,8 %;-1,0 %;-3,2 %;11,8 %;-21,5 %;-3,3 %;-82,9 %;-42,0 %;819,8 %;169,3 %;0,7 %
Turks and Caicos Islands;Caribbean;; - - -;-9,4 %;-31,6 %;-2,7 %;19,4 %;11,3 %;30,3 %;24,1 %;-7,4 %;-25,7 %;-18,4 %;-0,9 %;-0,2 %;-23,2 %;4,0 %;7,6 %;2,3 %;5,6 %;37,5 %;41,9 %;-70,5 %;111,5 %;49,8 %;3,3 %;-11,0 %
Tuvalu;Oceania;; - - -;5,3 %;-31,7 %;-43,9 %;34,8 %;-6,5 %;-58,6 %;66,7 %;-10,0 %;-16,7 %;280,0 %;33,3 %;-81,6 %;135,7 %;60,6 %;13,2 %;11,7 %;-23,9 %;11,8 %;0,0 %;-87,7 %;-14,3 %;950,0 %;-15,9 %;92,5 %
Uganda;Africa;; - - -;-6,5 %;-8,4 %;-3,3 %;12,7 %;3,9 %;10,2 %;17,2 %;21,2 %;-8,3 %;-5,3 %;13,0 %;14,4 %;7,1 %;2,4 %;15,7 %;-0,2 %;16,6 %;14,9 %;3,0 %;-83,1 %;15,0 %;199,6 %;51,1 %;7,0 %
Ukraine;Eastern Europe;; - - -;3,1 %;-18,5 %;24,1 %;24,7 %;28,4 %;24,7 %;21,0 %;18,9 %;-14,3 %;14,6 %;13,7 %;6,6 %;20,5 %;12,9 %;22,1 %;1,9 %;6,7 %;-1,6 %;0,1 %;-70,4 %;43,4 %;44,8 %;10,3 %;33,8 %
United Arab Emirates;Middle East;; - - -;-6,3 %;-49,1 %;-3,8 %;23,0 %;19,1 %;21,4 %;24,1 %;19,9 %;6,0 %;7,7 %;16,5 %;12,2 %;19,6 %;22,4 %;17,0 %;-14,2 %;-16,4 %;26,6 %;12,8 %;-81,2 %;144,9 %;61,7 %;13,8 %;-8,1 %
United Kingdom;Western Europe;; - - -;-12,9 %;-6,8 %;3,1 %;9,3 %;1,0 %;-3,9 %;7,7 %;1,5 %;-14,6 %;-1,2 %;1,4 %;-2,5 %;5,6 %;3,7 %;18,0 %;-6,7 %;-2,3 %;3,9 %;2,6 %;-84,7 %;-36,9 %;652,3 %;12,4 %;3,6 %
Uruguay;South America;; - - -;-13,3 %;-21,6 %;-26,4 %;-19,0 %;5,5 %;2,0 %;8,2 %;2,3 %;9,4 %;14,4 %;12,7 %;15,7 %;25,7 %;10,9 %;2,4 %;2,7 %;-6,0 %;10,1 %;-2,6 %;-81,0 %;118,8 %;87,9 %;6,4 %;10,1 %
Uzbekistan;Asia;; - - -;6,2 %;-23,5 %;-11,3 %;-20,8 %;14,9 %;0,5 %;-16,3 %;-2,5 %;14,3 %;18,4 %;-1,2 %;27,8 %;31,2 %;-3,9 %;31,1 %;-8,4 %;24,9 %;-21,2 %;-20,6 %;-83,2 %;21,2 %;508,2 %;29,4 %;-15,1 %
Vanuatu;Oceania;; - - -;-16,4 %;-48,3 %;-14,0 %;-4,3 %;4,5 %;0,0 %;22,8 %;-0,4 %;-16,0 %;-12,7 %;-1,2 %;19,0 %;11,9 %;10,1 %;15,1 %;-7,3 %;-34,1 %;40,5 %;5,5 %;-81,1 %;-48,9 %;854,2 %;40,6 %;-9,0 %
Venezuela;South America;; - - -;-3,7 %;-28,7 %;-28,2 %;16,1 %;3,0 %;8,4 %;24,3 %;10,6 %;0,0 %;-3,1 %;16,4 %;17,2 %;21,5 %;-23,6 %;-4,1 %;-1,2 %;-15,2 %;0,3 %;-20,1 %;-78,2 %;153,9 %;-3,1 %;-1,5 %;-0,6 %
Vietnam;Asia;; - - -;42,7 %;-4,4 %;-23,4 %;31,0 %;54,8 %;25,4 %;53,3 %;18,5 %;-7,6 %;13,6 %;5,7 %;15,4 %;18,9 %;33,9 %;14,6 %;8,4 %;7,9 %;2,4 %;8,4 %;-84,0 %;-37,9 %;451,5 %;79,2 %;12,1 %
Wallis And Futuna Islands;Oceania;; - - -;-8,2 %;-69,3 %;-16,1 %;57,7 %;92,7 %;-51,9 %;13,2 %;39,5 %;-33,3 %;-47,5 %;-42,9 %;441,7 %;16,9 %;-42,1 %;4,5 %;-10,9 %;-17,1 %;950,0 %;-82,6 %;-56,5 %;-66,7 %;277,8 %;111,8 %;11,1 %
West Indies (French);Caribbean;; - - -;;;;;;;;;;;;;;300,0 %;;;0,0 %;66,7 %;;;;;;
Western Sahara;Africa;; - - -;0,0 %;0,0 %;0,0 %;-100,0 %;;75,0 %;-42,9 %;37,5 %;-90,9 %;2600,0 %;422,2 %;-34,8 %;8,7 %;16,0 %;1,7 %;30,5 %;-0,6 %;-7,2 %;-44,4 %;-91,1 %;100,0 %;114,3 %;-23,3 %;65,2 %
Western Samoa;Oceania;; - - -;-8,2 %;-9,1 %;20,1 %;-16,0 %;15,6 %;7,2 %;13,9 %;-6,6 %;-5,6 %;-5,7 %;;;;;;;;;;-83,0 %;14,6 %;139,1 %;81,4 %;-2,5 %
Yemen;Middle East;; - - -;-36,9 %;-64,7 %;-12,8 %;44,8 %;66,7 %;15,0 %;-19,6 %;-17,2 %;30,4 %;14,5 %;-8,7 %;46,4 %;54,8 %;67,4 %;-22,1 %;17,7 %;-47,9 %;-59,3 %;7,9 %;-68,2 %;145,6 %;112,8 %;95,3 %;7,5 %
Yugoslavia;Western Europe;; - - -;27,0 %;7,5 %;-48,3 %;-42,8 %;-6,0 %;-19,9 %;-18,0 %;-27,2 %;-50,4 %;-9,3 %;-55,2 %;-50,0 %;8,8 %;0,6 %;-48,4 %;-47,0 %;38,6 %;-31,1 %;-50,0 %;-33,3 %;-35,7 %;488,9 %;135,8 %;28,8 %
Zaire ( formerly Congo, Democratic Republic of);Africa;; - - -;7,2 %;-31,9 %;-6,2 %;-7,9 %;122,9 %;167,9 %;88,5 %;12,7 %;19,1 %;12,4 %;-18,3 %;39,9 %;178,1 %;48,4 %;5,2 %;15,0 %;-1,6 %;15,0 %;-2,5 %;-85,6 %;148,7 %;138,7 %;50,7 %;6,0 %
Zambia;Africa;; - - -;32,2 %;-28,3 %;-12,1 %;3,6 %;0,4 %;4,1 %;-7,2 %;-10,9 %;-7,2 %;29,6 %;4,5 %;13,7 %;5,5 %;3,2 %;2,9 %;2,1 %;10,4 %;3,4 %;-6,2 %;-81,2 %;56,9 %;210,2 %;23,5 %;-5,2 %
Zimbabwe;Africa;; - - -;-15,4 %;-20,1 %;-4,3 %;-1,6 %;-6,7 %;-5,4 %;-0,3 %;-5,8 %;-9,5 %;7,9 %;9,3 %;9,8 %;10,0 %;24,4 %;6,3 %;4,1 %;6,4 %;-0,9 %;-5,2 %;-80,1 %;55,8 %;181,2 %;42,3 %;28,0 %
